QEMU_INTERACTION_PHASE boot=1 phase=x-socket
CONTROL_5c436ba641ab5d0d32e0ce08 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_9417d6519ebadc2918bd821c status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_383663bf26e5c4c95c7c0e97 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_4867e8492377b3ff39b5bf1b status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_7953ffec0611ea16166b64a1 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_3c3435730249829eb594056c status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_551ffef46f5fd891ff80cff6 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_18a6c1673b67b7890bb164dd status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_d6a97a5bfd7eebacd82111c0 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_3e0a1912c1568e5c3714a682 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_1c787f0e2226f5642aefba27 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5204adc744a5a25ab02d079e status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_1dcc3ead5768905ee90a240a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_a2a40444a435ea3e00d5e555 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_ad4e24829dd5c414c69ee59a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_d2974e6f8fae1bdba389d66a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_8fd073d196a570cc41637ff8 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_0ddc1519a2cd78c8033e5b66 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_7ba313c4efdbf271e9275d63 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_913365dc5ec8230ee043d0a2 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_22ca1749768bcb1785d082f9 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_681765c8228efaef4a79ab36 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_cf024bf79a208e94dbfce828 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_f36a0092f4f29cb8c080c259 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_37cc4b7ee5080e0f83c7ca09 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_659c3a45fc61e3b4f4b40862 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_ba42ec22817bee3c281e1ef2 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_08f5dfc80587cda8a71cfd25 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_2f5dfcd34b2078b299783557 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_7d4d0c23e3d0f8d090a518bc status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_915a08a43fe1d6d9735b3d80 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_15131d9089970cf8c8be78fb status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_facb3e1553a26b43c2e26e7a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_58e7382c98a7a7852715c124 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_9a418aa0ad547436b79a86d4 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_be8f7bd327581740bb52f639 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_8ad7b482bb6d15f1a84f9f10 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_28ba8a59032ad10507865940 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_45adb27ea8a2abba5f581a21 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_189f3148e1fb667a1debba41 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_799029678e5aa2fe65d71c68 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_c44ced662f066c36691fd9be status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_3f10e8373ba4357a57e3239c status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_7ee61ff56eb56aa3e9312ce8 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_f496b5e231e12cd0ab9787b9 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_3fcba88e7ac707962cd6e514 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_2602d6d51ed8099173fd5bf9 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_1138d3fb9aa5bcd589f78a91 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_90fe42d5e10f12b2e3fe30bf status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_4a5d16356b7f27f49465a3f5 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_0e3fe20ed9c82caa04146630 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5d827cb09e765ad75c812fd6 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_0fa6ab5d5c09713887b391bd status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_305a8316cfda5630d1b215a0 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_6592069547f169e4a14c3ae9 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_506e0bd2427406e7d21646c4 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_e05efbf526305ebdfc67d1e6 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_279cc5bfb0c3ecc30a37902b status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_58dde6fd024aa409a5eb339a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_75e7ce8ffa8ff0d161672de3 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_6eaf048e9f3fbd8db3c1c6b2 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_57dfadb81796b115e6dbe81a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_833c99f43abf15518757913e status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_e27d362a3aa2766189c9e95a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_98d3e3f2075498bbe130eeb2 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_02ed4c99c412bda97dcac94c status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_ca336a0df505852e4a6e704b status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_84ef9b266e8f8372b464f38f status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_929917dcd99836c569d6c13c status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_c271905ca91343015ae20edb status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_8e32838bda8d0a8ed50197c9 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
